Tamanho_Entrada,Execucao,Tempo(s)
10,1,1.0967254638671875e-05
10,2,1.1682510375976562e-05
10,3,1.2159347534179688e-05
10,4,1.0013580322265625e-05
10,5,9.059906005859375e-06
