Tamanho_Entrada;Execucao;Tempo(s)
1000;1;0.02428126335144043
1000;2;0.024327993392944336
1000;3;0.024675369262695312
1000;4;0.024249792098999023
1000;5;0.02420186996459961
1000;6;0.02421736717224121
1000;7;0.0242769718170166
1000;8;0.02476954460144043
1000;9;0.024424314498901367
1000;10;0.0242154598236084
