Tamanho_Entrada,Execucao,Tempo(s)
10,1,1.811981201171875e-05
10,2,1.811981201171875e-05
10,3,1.0967254638671875e-05
10,4,1.1682510375976562e-05
10,5,1.2636184692382812e-05
