Tamanho_Entrada;Execucao;Tempo(s)
10;1;2.09808349609375e-05
10;2;2.4557113647460938e-05
10;3;2.3603439331054688e-05
10;4;1.4781951904296875e-05
10;5;2.1696090698242188e-05
10;6;1.9550323486328125e-05
10;7;1.8358230590820312e-05
10;8;2.288818359375e-05
10;9;2.1219253540039062e-05
10;10;1.5497207641601562e-05
