Tamanho_Entrada;Execucao;Tempo(s)
100000;1;0.015430
100000;2;0.015399
100000;3;0.015431
100000;4;0.015429
100000;5;0.015394
100000;6;0.015393
100000;7;0.015425
100000;8;0.015384
100000;9;0.015393
100000;10;0.015419
