Tamanho_Entrada,Execucao,Tempo(s)
100,1,.000009
100,2,.000010
100,3,.000009
100,4,.000010
100,5,.000009
100,6,.000009
100,7,.000009
100,8,.000009
100,9,.000010
100,10,.000009
