Tamanho_Entrada,Execucao,Tempo(s)
10000,1,.163481
10000,2,.164194
10000,3,.165394
10000,4,.164107
10000,5,.164268
10000,6,.164689
10000,7,.164897
10000,8,.164083
10000,9,.164183
10000,10,.164140
