Tamanho_Entrada Execucao Tempo(s)
1000 1 0.001520;
1000 2 0.001513;
1000 3 0.001523;
1000 4 0.001535;
1000 5 0.001841;
1000 6 0.001532;
1000 7 0.001660;
1000 8 0.001521;
1000 9 0.001520;
1000 10 0.001530;
