Linguagem;Algoritmo;Tamanho_Entrada;TempoTotal(s)
python;mergesort;10;.00000610351562530000
python;mergesort;100;.00021867752075195312
python;mergesort;1000;.02473008632659912110
python;mergesort;10000;2.43680508136749267000
python;mergesort;100000;267.43952438831329800000
python;bubblesort;10;.00000715255737300000
python;bubblesort;100;.00041027069091796875
python;bubblesort;1000;.04457423686981201220
python;bubblesort;10000;4.77177221775054935000
python;bubblesort;100000;506.43119249343871900000
c;mergesort;10;.00000180000000000000
c;mergesort;100;.00000910000000000000
c;mergesort;1000;.00010230000000000000
c;mergesort;10000;.00126970000000000000
c;mergesort;100000;.01540970000000000000
c;bubblesort;10;.00000140000000000000
c;bubblesort;100;.00002060000000000000
c;bubblesort;1000;.00193820000000000000
c;bubblesort;10000;.22589660000000000000
c;bubblesort;100000;23.39992670000000000000
