Tamanho_Entrada Execucao Tempo(s)
10000 1 0.163852;
10000 2 0.165226;
10000 3 0.165785;
10000 4 0.165014;
10000 5 0.165623;
10000 6 0.164939;
10000 7 0.165282;
10000 8 0.163919;
10000 9 0.171538;
10000 10 0.164013;
