Tamanho_Entrada,Execucao,Tempo(s)
10,1,1.3113021850585938e-05
10,2,1.0251998901367188e-05
10,3,9.775161743164062e-06
10,4,1.0728836059570312e-05
10,5,1.1682510375976562e-05
