Tamanho_Entrada,Execucao,Tempo(s)
100000,1,259.9573130607605
100000,2,276.23430490493774
100000,3,259.24991106987
100000,4,256.8281388282776
100000,5,256.9060800075531
100000,6,258.2720239162445
100000,7,257.5195870399475
100000,8,257.8265767097473
100000,9,258.5197730064392
100000,10,258.5284061431885
