Tamanho_Entrada,Execucao,Tempo(s)
10000,1,0.002752
10000,2,0.002676
10000,3,0.002744
10000,4,0.003117
10000,5,0.002743
10000,6,0.002334
10000,7,0.001863
10000,8,0.001630
10000,9,0.001830
10000,10,0.001958
